TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W04;CH;Y35T39;T;P;3
2020-W04;CH;Y35T39;F;P;1
2020-W04;CH;Y35T39;M;P;2
2020-W04;CH;Y40T44;T;P;10
2020-W04;CH;Y40T44;F;P;6
2020-W04;CH;Y40T44;M;P;4
2020-W04;CH;Y45T49;T;P;12
2020-W04;CH;Y45T49;F;P;6
2020-W04;CH;Y45T49;M;P;6
2020-W04;CH;Y50T54;T;P;31
2020-W04;CH;Y50T54;F;P;11
2020-W04;CH;Y50T54;M;P;20
2020-W04;CH;Y55T59;T;P;35
2020-W04;CH;Y55T59;F;P;15
2020-W04;CH;Y55T59;M;P;20
2020-W04;CH;Y60T64;T;P;49
2020-W04;CH;Y60T64;F;P;18
2020-W04;CH;Y60T64;M;P;31
2020-W04;CH;Y65T69;T;P;80
2020-W04;CH;Y65T69;F;P;27
2020-W04;CH;Y65T69;M;P;53
2020-W04;CH;Y70T74;T;P;136
2020-W04;CH;Y70T74;F;P;52
2020-W04;CH;Y70T74;M;P;84
2020-W04;CH;Y75T79;T;P;160
2020-W04;CH;Y75T79;F;P;57
2020-W04;CH;Y75T79;M;P;103
2020-W04;CH;Y80T84;T;P;181
2020-W04;CH;Y80T84;F;P;78
2020-W04;CH;Y80T84;M;P;103
2020-W04;CH;Y85T89;T;P;278
2020-W04;CH;Y85T89;F;P;148
2020-W04;CH;Y85T89;M;P;130
2020-W04;CH;Y_GE90;T;P;412
2020-W04;CH;Y_GE90;F;P;277
2020-W04;CH;Y_GE90;M;P;135
2020-W05;CH;_T;T;P;1418
2020-W05;CH;_T;F;P;736
2020-W05;CH;_T;M;P;682
2020-W05;CH;Y0T4;T;P;6
2020-W05;CH;Y0T4;F;P;3
2020-W05;CH;Y0T4;M;P;3
2020-W05;CH;Y10T14;T;P;1
2020-W05;CH;Y10T14;F;P;1
2020-W05;CH;Y15T19;T;P;2
2020-W05;CH;Y15T19;F;P;1
2020-W05;CH;Y15T19;M;P;1
2020-W05;CH;Y20T24;T;P;2
2020-W05;CH;Y20T24;F;P;1
2020-W05;CH;Y20T24;M;P;1
2020-W05;CH;Y25T29;T;P;3
2020-W05;CH;Y25T29;F;P;1
2020-W05;CH;Y25T29;M;P;2
2020-W05;CH;Y30T34;T;P;1
2020-W05;CH;Y30T34;F;P;1
2020-W05;CH;Y35T39;T;P;7
2020-W05;CH;Y35T39;F;P;2
2020-W05;CH;Y35T39;M;P;5
2020-W05;CH;Y40T44;T;P;7
2020-W05;CH;Y40T44;F;P;3
2020-W05;CH;Y40T44;M;P;4
2020-W05;CH;Y45T49;T;P;13
2020-W05;CH;Y45T49;F;P;2
2020-W05;CH;Y45T49;M;P;11
2020-W05;CH;Y50T54;T;P;18
2020-W05;CH;Y50T54;F;P;6
2020-W05;CH;Y50T54;M;P;12
2020-W05;CH;Y55T59;T;P;43
2020-W05;CH;Y55T59;F;P;15
2020-W05;CH;Y55T59;M;P;28
2020-W05;CH;Y60T64;T;P;52
2020-W05;CH;Y60T64;F;P;22
2020-W05;CH;Y60T64;M;P;30
2020-W05;CH;Y65T69;T;P;81
2020-W05;CH;Y65T69;F;P;33
2020-W05;CH;Y65T69;M;P;48
2020-W05;CH;Y70T74;T;P;106
2020-W05;CH;Y70T74;F;P;48
2020-W05;CH;Y70T74;M;P;58
2020-W05;CH;Y75T79;T;P;167
2020-W05;CH;Y75T79;F;P;80
2020-W05;CH;Y75T79;M;P;87
2020-W05;CH;Y80T84;T;P;199
2020-W05;CH;Y80T84;F;P;91
2020-W05;CH;Y80T84;M;P;108
2020-W05;CH;Y85T89;T;P;289
2020-W05;CH;Y85T89;F;P;144
2020-W05;CH;Y85T89;M;P;145
2020-W05;CH;Y_GE90;T;P;421
2020-W05;CH;Y_GE90;F;P;282
2020-W05;CH;Y_GE90;M;P;139
2020-W06;CH;_T;T;P;1379
2020-W06;CH;_T;F;P;724
2020-W06;CH;_T;M;P;655
2020-W06;CH;Y0T4;T;P;10
2020-W06;CH;Y0T4;F;P;5
2020-W06;CH;Y0T4;M;P;5
2020-W06;CH;Y5T9;T;P;1
2020-W06;CH;Y5T9;F;P;1
2020-W06;CH;Y10T14;T;P;1
2020-W06;CH;Y10T14;M;P;1
2020-W06;CH;Y20T24;T;P;4
2020-W06;CH;Y20T24;M;P;4
2020-W06;CH;Y25T29;T;P;4
2020-W06;CH;Y25T29;F;P;1
2020-W06;CH;Y25T29;M;P;3
2020-W06;CH;Y30T34;T;P;3
2020-W06;CH;Y30T34;F;P;2
2020-W06;CH;Y30T34;M;P;1
2020-W06;CH;Y35T39;T;P;3
2020-W06;CH;Y35T39;F;P;1
2020-W06;CH;Y35T39;M;P;2
2020-W06;CH;Y40T44;T;P;4
2020-W06;CH;Y40T44;F;P;2
2020-W06;CH;Y40T44;M;P;2
2020-W06;CH;Y45T49;T;P;15
2020-W06;CH;Y45T49;F;P;7
2020-W06;CH;Y45T49;M;P;8
2020-W06;CH;Y50T54;T;P;23
2020-W06;CH;Y50T54;F;P;7
2020-W06;CH;Y50T54;M;P;16
2020-W06;CH;Y55T59;T;P;42
2020-W06;CH;Y55T59;F;P;19
2020-W06;CH;Y55T59;M;P;23
2020-W06;CH;Y60T64;T;P;57
2020-W06;CH;Y60T64;F;P;20
2020-W06;CH;Y60T64;M;P;37
2020-W06;CH;Y65T69;T;P;92
2020-W06;CH;Y65T69;F;P;43
2020-W06;CH;Y65T69;M;P;49
2020-W06;CH;Y70T74;T;P;123
2020-W06;CH;Y70T74;F;P;42
2020-W06;CH;Y70T74;M;P;81
2020-W06;CH;Y75T79;T;P;165
2020-W06;CH;Y75T79;F;P;83
2020-W06;CH;Y75T79;M;P;82
2020-W06;CH;Y80T84;T;P;192
2020-W06;CH;Y80T84;F;P;86
2020-W06;CH;Y80T84;M;P;106
2020-W06;CH;Y85T89;T;P;264
2020-W06;CH;Y85T89;F;P;146
2020-W06;CH;Y85T89;M;P;118
2020-W06;CH;Y_GE90;T;P;376
2020-W06;CH;Y_GE90;F;P;259
